CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
TRC,38.5,33.5,36,35.7,600,35.75,200,35.8,"1,400",36,400,0.00,0.0%,36.2,600,36.5,200,36.75,"1,200","2,000",36.9,36,,,"14,372,240"
TS4,3.88,3.38,3.63,,,,,,,,,,,,,,,,,,,,,,"7,779,697"
TSC,12,10.5,11.25,11.1,"21,900",11.15,"1,400",11.2,"29,400",11.2,"195,100",-0.05,-0.4%,11.25,"14,900",11.3,"1,400",11.35,"21,200","2,676,900",11.8,10.9,,"106,500",
TTA,14.4,12.6,13.5,13.3,"10,500",13.35,"3,100",13.5,800,13.55,"9,500",0.05,0.4%,13.55,"1,800",13.6,"27,000",13.65,"3,600","461,900",13.6,13.25,"3,400","8,500","65,610,030"
TTB,5.76,5.02,5.39,5.51,"9,600",5.52,"6,300",5.54,"3,500",5.55,"12,400",0.16,3.0%,5.55,200,5.56,"19,100",5.57,"10,600","723,500",5.58,5.4,,,
TTE,10.8,9.4,10.1,,,,,,,,,,,10.3,100,10.35,100,10.5,200,,,,,,"14,527,634"
TTF,7.74,6.74,7.24,7.35,"46,000",7.36,"296,000",7.37,"20,900",7.37,"159,800",0.13,1.8%,7.39,"9,200",7.4,"33,400",7.41,"9,600","9,109,700",7.6,7.24,"84,000","6,000","154,991,730"
TV2,46.2,40.2,43.2,42.75,"4,400",42.8,"12,400",42.85,"1,300",42.85,"6,900",-0.35,-0.8%,42.9,"1,100",43,"2,600",43.1,"1,100","141,000",43.2,42.75,,,"3,043,406"
TVS,27.35,23.85,25.6,25.15,600,25.2,"1,800",25.25,700,25.25,"1,500",-0.35,-1.4%,25.5,300,25.6,"3,000",25.65,200,"67,500",25.7,25.25,300,,"19,813,831"
TVT,27.6,24,25.8,24.7,300,24.75,"1,000",25,100,25.2,400,-0.60,-2.3%,25.8,200,25.9,700,25.95,100,400,25.2,25.2,,,"10,260,790"
TYA,16.55,14.45,15.5,15.3,"4,800",15.35,"5,000",15.4,"8,200",15.45,400,-0.05,-0.3%,15.45,"18,600",15.5,"30,000",15.55,"4,200","46,200",15.6,15.4,"12,500","32,000","3,555,474"
